"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","총 주자면","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","최종데이터 동기화 시간","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 시간(분 단위)","버스 추가 단위 요금","일 최대 요금"
"74588","가오천 노상공영(구)","강북구 수유동 181-40","NS","노상 주차장","3","시간제 + 거주자 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 09:54:06","N","무료","N","무료","100000","1130510300007","200","5","200","5","0","0","0","0","10000"
"75432","아카데미 노상공영(구)","강북구 수유동 535-76","NS","노상 주차장","3","시간제 + 거주자 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0900","1800","2019-06-10 09:54:08","N","무료","N","무료","100000","1130510300009","200","5","200","5","0","0","0","0","10000"
"79957","빨래골 노상공영(구)","강북구 수유동 49-27","NS","노상 주차장","3","시간제 + 거주자 주차장","02-944-3025","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 09:54:03","N","무료","N","무료","100000","1130510300006","200","5","200","5","0","0","0","0","10000"
"119824","여의도공원앞1 노상주차장(구)","영등포구 여의도동 2-11","NS","노상 주차장","1","시간제 주차장","02-2650-1436","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2020-09-09 10:42:19","N","무료","Y","유료","200000","1156011000120","500","5","1000","10","0","0","0","0","20000"
"144561","한국통신(구)","양천구 목동 924-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 11:03:02","N","무료","Y","유료","0","1147010200008","250","5","250","5","0","0","0","0","0"
"147462","부영그린(구)","양천구 목동 908-35","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2100","0800","2100","0800","2100","2019-06-10 11:08:24","N","무료","N","무료","0","1147010200100","250","5","250","5","0","0","0","0","0"
"171721","세종로 공영주차장(시)","종로구 세종로 80-1","NW","노외 주차장","1","시간제 주차장","02-2290-6566","1260","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2023-04-13 17:37:20","N","무료","N","무료","252000","","430","5","430","5","0","0","0","0","0"
"171724","서인사마당공영(구)","종로구 견지동 85-18","NW","노외 주차장","1","시간제 주차장","02-2236-0052","45","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:30:49","N","무료","N","무료","250000","","400","5","400","5","0","0","0","0",""
"171730","종묘주차장 공영주차장(시)","종로구 훈정동 2-0","NW","노외 주차장","1","시간제 주차장","02-2290-6166","1317","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2023-04-13 17:42:42","N","무료","N","무료","180000","","400","5","400","5","0","0","0","0","0"
"171778","명광교회공영주차장(구)","종로구 명륜3가 12-0","NW","노외 주차장","1","시간제 주차장","02-2236-0052","8","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:31:40","N","무료","N","무료","180000","","250","5","250","5","0","0","0","0","0"
